Team,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,Reb,Ast,TO,Stl,Blk,PF,Pts
Wofford,26.9,57.3,47,10.3,28.8,35.5,10.3,14.5,70.5,9,25.6,34.6,14.6,12.8,6.7,2,15.8,74.3
Bellarmine,28.1,54.6,51.5,6.4,17.1,37.5,11.7,15.7,74.5,8,22.5,30.4,15.8,11.1,7.2,2.1,15.4,74.3
Utah Valley University,26.9,56.6,47.5,5.3,15.2,34.6,15.1,23.9,63.1,10.9,27.9,38.8,16.8,15,5.2,4.6,19.6,74.2
SDSU,25.7,56.6,45.5,8.5,22.6,37.5,14.1,19.5,72.3,9.8,26.1,35.9,13.9,11.3,8.3,2.9,18.6,74.1
SMU,26.6,58.9,45.1,7.5,22.1,33.9,13.4,18.4,72.9,10.6,26.6,37.3,15.1,14.3,6.2,4.5,17.4,74.1
South Alabama,25.5,57.9,44.1,9.1,25.3,36.2,13.9,19.4,71.8,9.6,26,35.6,11.2,11.9,7.1,3.3,15.5,74.1
Florida,26.3,56.7,46.4,6.8,19.1,35.7,14.5,19.2,75.7,10,25.1,35.2,11.8,14.7,7.3,5.4,18.5,74
LIU Brooklyn,26.6,64.2,41.5,7.4,25.9,28.7,13.3,20,66.7,13.3,25.8,39.2,16.3,14.4,8.4,3.8,17.5,74
Montana St.,25.5,56.4,45.1,6.2,18.7,32.9,16.9,22.4,75.5,8.6,25.2,33.8,11,12.5,5.5,2.3,18.7,74
Rice,26.1,59.3,44,10.2,28.6,35.7,11.4,15.7,72.9,9.5,27.5,37,15.1,14.7,5.5,2.1,13.9,73.9
Long Beach St.,25.9,58.1,44.6,7.1,19.7,35.9,14.9,21.9,68.3,8.2,26.9,35.1,11.9,16,6.2,2.9,19.4,73.8
Nevada,24.8,55.6,44.7,7.7,21.8,35.4,16.3,21.5,75.5,8.2,27.5,35.7,14.4,12.7,5.6,3,20,73.7
TX Arlington,26,63.8,40.8,9,25.3,35.7,12.6,17.1,73.6,11.7,25.7,37.5,13.6,12,8.2,4.7,16.7,73.7
Florida Intl.,26.5,61.7,43,10.5,31.4,33.5,10,15.1,66.6,9.7,22.9,32.6,15,14.6,8.4,4,17.8,73.6
Missouri,25.8,57.6,44.9,6.9,21.6,32,15,21.6,69.8,9.9,25.8,35.7,13.2,13.4,6.7,3.5,19.8,73.6
UNC G,27.7,65.3,42.4,7.6,25.4,30,10.6,15.6,68.3,13,26.4,39.4,12.3,11,7.5,3.9,18.1,73.6
Louisiana Tech,26.1,58.6,44.6,7.5,21.6,34.5,13.9,20.2,68.6,10.1,28.9,39,12.5,13,6.5,2.8,15.1,73.5
N.C. Asheville,27.4,57.6,47.6,8.1,22.5,35.8,10.6,17.4,60.6,9.3,24.2,33.5,12.7,15.1,7,4.4,18.4,73.4
Missouri St.,26.5,55.5,47.8,7.5,21.5,35,12.8,17.3,74.2,7.9,29,37,13.5,12.7,4.7,2.9,15.4,73.4
Tarleton St.,26.5,56.5,46.9,5.5,14.6,37.8,14.9,20.6,72.1,8.9,23.1,32,14.7,11.6,10.5,2.7,19.6,73.4
Utah State,26.8,60.1,44.6,6.5,19.2,33.6,13.2,18.1,72.6,12.6,28.2,40.8,16.3,13.6,6.8,4.9,15.1,73.3
Hofstra,25.9,58.3,44.3,7.6,23,33,13.8,19.3,71.2,10.4,25,35.4,12.7,12.1,6.6,3,16,73.2
N.C. State,26.8,57.2,46.8,6.7,18.6,36.3,12.9,18.3,70.4,10,22.5,32.5,13,12.8,8.3,4.5,16.1,73.2
North Alabama,26,60.7,42.9,8,23.7,33.7,13.2,17.7,74.5,11,28,38.9,11.4,13.8,5.9,3.2,17.6,73.2
Kansas,26.3,59.9,44,7.5,21.7,34.4,13,18.3,71.2,11.4,26.6,38,13.7,12.4,6.9,4.1,15.3,73.1
West. Kentucky,25.4,56,45.3,6.3,18.4,34.5,16,20.3,79,10.5,27.4,37.9,13.3,14.9,6.6,4.5,14.2,73.1
Colorado,25.8,56.8,45.4,7.5,20.4,36.7,14,17,82.2,9.9,25.1,35,13.2,11.1,5.3,2.8,16.2,73
Texas Tech,25.4,57.4,44.3,6.2,18,34.6,16,22.5,71.1,11.7,23.4,35.1,13.1,11,7.3,4.1,17.4,73
Vermont,25.5,55.2,46.3,7.7,22.5,34.4,14.2,18.2,78,8.4,26.5,34.9,14.1,12.2,5,2.6,17.7,73
Western Ill.,25,62,40.4,7.1,22.6,31.6,15.9,22.2,71.5,11.7,26.4,38.1,10.2,13,5.3,3,20.2,73
Seattle,25.8,62,41.6,8.1,25.8,31.4,13.3,18.1,73.3,10.3,23.4,33.7,11.5,10.7,6.6,3.5,18.9,72.9
Coppin St.,24,58.5,41.1,8.8,29,30.3,16,25.6,62.2,7.4,28.8,36.2,13,15.9,8.5,3.2,17.9,72.8
UCLA,26.4,57.1,46.2,6.7,18.1,36.7,13.4,18.6,72.1,10.1,25.2,35.3,13.6,11.2,5.1,2.7,16,72.8
Notre Dame,26.1,56.9,45.9,9.1,24.7,36.8,11.4,14.7,77.3,7.2,26.2,33.4,14.9,10.6,4.3,3.9,12.8,72.7
UAB,27.2,60.2,45.1,5.1,16.4,30.9,13.2,18.9,69.6,10.7,25.9,36.7,10.6,10.5,8,4.2,15.2,72.6
Howard,24.6,56.6,43.5,7.6,24.6,30.9,15.8,22,71.8,8.2,27.2,35.4,14.8,14.4,5.2,5,17.8,72.6
N'western St.,26.6,61.7,43.1,7.2,20.8,34.8,12.3,18.3,67.2,10.2,25.2,35.5,13,14.4,7,2.9,18.8,72.6
Penn St.,25.5,62.5,40.8,8.8,26.2,33.8,12.8,17.4,73.8,12.2,24.3,36.5,13.4,11.4,7.9,2.4,17.8,72.6
Chattanooga,25.7,58.5,43.8,8.4,23.3,35.9,12.9,16.5,78.3,8.3,25.5,33.9,12.3,11.1,6.8,1.8,14.2,72.6
Arkansas St.,25.9,57.9,44.7,6.4,16.8,38.3,14.4,19.9,72.2,11,26.1,37.2,14.5,13.1,6.6,2.8,16,72.5
Connecticut,26.4,60.1,43.9,6.7,20,33.6,13,17.8,73.1,13.2,24.9,38.1,13,11.7,6.2,5.3,18.9,72.5
Minnesota,24.3,61.9,39.2,7.1,25.2,28.4,16.8,22.7,74.1,11.7,25.1,36.8,13.8,11.2,6.3,4.6,18.6,72.5
S. Carolina,27,65,41.5,6.8,22.2,30.5,11.9,18.1,65.4,13,22.9,36,13.3,14.9,8.4,3.7,19.1,72.5
Tennessee,25.4,57.3,44.3,6.7,19.7,33.8,15,20.1,74.6,10.8,25.1,35.9,15,12.5,7.2,4.9,16.5,72.5
Texas Pan Amer.,25.1,61.3,40.9,6.6,22.6,29.4,15.7,24.6,63.7,13.5,25.6,39.1,15.2,14.8,8.9,4.3,21.5,72.4
Wichita St.,24.5,60,40.8,8.3,24.4,34.2,15.1,21.9,68.9,12,26,38,13.3,11.3,6.1,3.6,15.7,72.4
Davidson,26.2,55.3,47.3,10,27.1,36.7,10,14.5,68.5,9,25.9,35,15.1,10.8,5.1,2.6,14.9,72.3
Miami (OH),26,59.6,43.6,8.6,23.5,36.4,11.7,15.1,77.6,9.8,24.9,34.7,12.1,10.8,4.4,2.6,16.9,72.3
Robert Morris,27.3,61.5,44.3,7.5,20.7,36,10.3,15.7,65.6,10.9,23.1,34,15.7,13.4,6.5,3,18.3,72.3
UC Irvine,27,59.8,45.1,4.9,14.4,33.8,13.3,17.6,75.9,11.5,28.4,39.6,11.8,13,7.6,4,16.7,72.2
Iona,24.9,55.9,44.5,7.5,21.1,35.5,15,20.2,74.3,11.2,26.4,37.6,13.9,15.7,6.8,3.9,21.8,72.2
N.C. A&T,25.6,60.7,42.2,6.6,20.3,32.3,14.4,22.1,65.2,11,23.9,34.9,13.4,14,8.7,2.7,17.5,72.2
Sacramento St.,26.6,57.9,45.9,6.7,18.1,36.7,12.4,18.3,67.9,9.4,22.2,31.6,12.8,10.1,6.9,2.3,17.9,72.2
St. Joseph's,25.3,61.9,40.9,9.6,30.5,31.4,12,16.6,72.5,8.4,25.4,33.8,14.4,14.1,6,1.8,17.9,72.2
Loyola (MD),27,58.1,46.5,5.4,17.4,31.2,12.7,20.9,60.6,11.1,26.6,37.7,13.1,14.6,7.1,3.3,18.4,72.1
Memphis,26,59.1,44,7.5,21,35.4,12.5,20.2,62.1,12.2,27.7,39.9,16,16.3,9,4.9,19.5,72.1
CSU Northridge,25.5,60.1,42.3,7.7,22.9,33.8,13.5,18.5,72.7,9.5,23.7,33.2,13.3,11.9,6.4,2.1,17.4,72.1
Utah,26.2,55.9,46.9,6.9,19.4,35.5,12.8,16.1,79.2,7.4,23.9,31.3,15.1,12.6,5.4,3.4,16.8,72.1
Virginia Tech,25.4,56.3,45.1,8.2,23.1,35.7,13,18.7,69.7,9.4,25.7,35.1,14.4,11.6,4.8,4,16.1,72.1
Army,26.8,58.2,46,7.9,23.9,33.1,10.4,16.4,63.5,8,26.5,34.6,14.2,12.6,6.3,1.4,15.5,72
Illinois St.,27.2,59,46,7.8,22.6,34.6,9.8,14.9,66.1,8.3,26.9,35.2,13.8,13.9,6,3.3,16.4,72
Stetson,25.7,58.8,43.7,9.4,24.9,37.9,11.2,16,69.8,10.4,24.5,34.9,14,13.2,7.1,2.7,16.2,72
VCU,25.5,56.2,45.3,6.5,19.7,32.9,14.5,19.1,76.1,9.6,24.8,34.4,13.5,14.8,9.4,5.4,18.7,72
UC Davis,24.9,56.7,44,5.7,17.5,32.4,16.4,20.9,78.5,8.9,22.8,31.7,10.8,14.4,7.5,2.8,19.9,71.9
Vanderbilt,24.4,56.6,43,9.3,26.7,34.9,13.7,18.6,73.6,9.9,23.8,33.7,12.7,13.8,7,2.6,17.6,71.8
Florida Gulf Coast,26.8,62.6,42.9,8.1,27.7,29.3,10,15.1,66.4,11.6,27.3,38.9,13.7,14.7,7.4,4.3,15.6,71.8
Hawaii,25.4,57.5,44.2,7.8,21.7,36,12.9,17.9,72.1,10.3,25.5,35.8,11.7,13.8,5.7,1.5,16.7,71.6
Wisc. Green Bay,26.2,60.3,43.5,6.8,20.4,33.3,12.3,16.4,74.9,9.2,23.6,32.8,14.1,10.8,5.5,3.6,16.2,71.6
Cleveland State,26.3,58.2,45.2,6.4,20,31.9,12.5,18.6,66.9,10.7,24.3,35,14,12.9,7,2.5,19.2,71.5
Drexel,26.1,54.6,47.7,7.3,19.5,37.2,12.1,15.6,77.7,8.8,25.1,33.9,15.2,12.9,4.7,2.4,15.2,71.5
Georgia Southern,26.4,59.1,44.7,7.5,23.4,31.9,11.3,17.8,63.5,11.9,25.2,37.1,12.4,14.4,8.1,3.9,17.1,71.5
Loyola Chicago,26.3,52,50.5,7.2,19.5,36.8,11.8,16.4,72.3,7.3,25.4,32.6,15.8,11.9,6.9,2.4,14.3,71.5
Navy,25.9,57.9,44.7,6.2,18.9,32.6,13.6,19.1,70.9,11.3,23.7,35.1,12.3,12.4,8.2,2.4,16.7,71.5
Boston Coll.,25,59.3,42.2,9,27.3,33,12.4,17.6,70.2,9.4,23.9,33.3,11.5,13.9,7.2,3.9,16.2,71.4
Georgetown,24.8,58.5,42.4,8.3,22.7,36.6,13.4,17.7,75.4,11.7,28.5,40.2,12.8,15.3,5.9,3.9,15.9,71.4
Rhode Island,25.4,57.4,44.2,5.7,18.3,31.2,14.9,22.3,66.8,10.7,27.8,38.5,12.1,14.1,6.6,4.6,17.8,71.4
San Francisco,25.9,60.6,42.7,10.4,30.5,34,9.3,13,71.7,9,24.2,33.2,11.9,11.8,7.2,3.3,19.3,71.4
UC San Diego,26.3,57.2,45.9,11.1,29.4,37.6,7.8,12.2,63.8,5.9,23.5,29.5,17.3,13.2,6.8,2.2,13.6,71.4
Northern Kentucky,26.3,59,44.6,7.2,23.4,30.7,11.6,16.4,70.5,12.2,22.6,34.8,11.8,12.5,6.4,1.6,16.7,71.4
George Mason,26.3,61.2,42.9,7.3,22.1,32.9,11.5,17.9,64.2,11.5,26.4,37.9,13,12.9,7.2,4.2,16,71.3
Seton Hall,24.9,56.5,44.1,6.7,20.8,32.1,14.7,20.1,73.2,10.2,24.6,34.9,12.9,13,6.3,4.4,16.4,71.3
Wagner,26.7,60.3,44.2,5.9,18.4,31.8,12.1,16.9,71.8,12.4,23.3,35.7,12.9,12.3,7.4,2.6,20.3,71.3
Pittsburgh,25.2,58.3,43.2,6.5,19.3,33.9,14.3,21.5,66.4,12.7,25.7,38.4,14.5,12.5,6,3.8,17.3,71.2
Prairie View A&M,27,60.2,44.8,6.6,21.8,30.4,10.6,16.2,65.3,11.2,24,35.2,15.9,13.7,9.6,4.2,20.8,71.2
IUPUI,25.1,59.4,42.3,7.9,23.1,34.4,13,18.1,71.8,9.3,24.4,33.8,13.3,13.9,6.9,2.2,18.9,71.2
Lipscomb,25.4,55.3,46,7.4,21.1,35.1,12.9,18.6,69.2,7.7,26.3,34,13.5,12.1,6.2,2,13.9,71.2
N. Mexico St.,24.6,57.8,42.6,8.8,27.6,31.8,13.2,18.1,72.9,11.9,24.3,36.2,12.5,12.2,5,2.4,18,71.1
Purdue,25.5,56.6,45.1,7.1,21.2,33.5,13,18.2,71.1,10.9,26.7,37.6,14.3,12.6,5.2,3.4,17.5,71.1
Campbell,25.9,52.2,49.6,7.2,19.3,37.5,12,17.7,67.6,6.1,22.3,28.4,14.3,12.1,6.1,2.3,17,71
Houston Baptist,25.4,59.4,42.8,8.1,23.5,34.4,12.2,16.6,73.3,9.2,25,34.2,14.2,16.7,7,3.7,17,71
App State,24.1,58.1,41.5,8.1,25,32.4,14.7,19.9,73.7,11,25,36,12,11.8,8,3.5,13.8,70.9
Central Arkansas,25.3,57.8,43.7,7.1,19.5,36.3,13.3,18.5,71.7,10.3,26.9,37.2,13.4,17.5,5,2.7,18,70.9
Delaware St.,24.6,62.3,39.6,8,25.9,30.9,13.5,18.8,72,10.8,24.8,35.7,11.4,16.9,6.5,3.6,21.3,70.8
Montana,24.9,54.1,46,5.5,15.2,36.2,15.5,19.8,78.2,7.7,25.5,33.2,12.7,13.3,4.9,2.6,19.7,70.8
UTEP,25.3,59.7,42.5,7.1,21.8,32.6,13,17.3,74.8,8.9,25.5,34.5,11.8,10.9,6.3,2.8,17.5,70.8
Oregon State,24.6,56.4,43.5,7,19.8,35.3,14.6,19.2,75.8,10.3,23.4,33.7,14.7,11.3,6.1,3.3,18.9,70.7
Gardner-Webb,25,56.3,44.4,8.9,24.7,36.1,11.7,16.9,69,9.2,25.2,34.4,13,11.7,5.9,4.8,18.9,70.7
Charleston,25.3,56.1,45.1,8.3,22.2,37.4,11.6,16.4,71.1,8.4,24.4,32.8,10.6,10.4,5.3,2.8,17.1,70.6
Holy Cross,26.4,59.4,44.5,6.9,19.5,35.6,10.8,15.5,69.8,9.4,23.2,32.6,11.9,12.9,6.8,3.8,19.1,70.6
Northern Colorado,25,55.5,44.9,9.1,24,38,11.5,17.3,66.6,8,26.4,34.5,10.9,14,4.3,2.7,18,70.5
Canisius,24.7,60.5,40.8,7.5,25.2,29.7,13.5,19.1,71,10,24.6,34.6,12.7,12,5.6,3.5,18,70.4
